date,day,quarter,department,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,actual_productivity,no_of_workers
01/01/2015,5,Quarter1,sweing,8,0.8,26.16,1108.0,7080,98,0.0,0,0,0.940725424,32
01/01/2015,5,Quarter1,finishing ,1,0.75,3.94,0.0,960,0,0.0,0,0,0.8865,32
01/01/2015,5,Quarter1,sweing,11,0.8,11.41,968.0,3660,50,0.0,0,0,0.800570492,32
01/01/2015,5,Quarter1,sweing,12,0.8,11.41,968.0,3660,50,0.0,0,0,0.800570492,32
01/01/2015,5,Quarter1,sweing,6,0.8,25.9,1170.0,1920,50,0.0,0,0,0.800381944,32
01/01/2015,5,Quarter1,sweing,7,0.8,25.9,984.0,6720,38,0.0,0,0,0.800125,32
01/01/2015,5,Quarter1,finishing ,2,0.75,3.94,0.0,960,0,0.0,0,0,0.755166667,29
01/01/2015,5,Quarter1,sweing,3,0.75,28.08,795.0,6900,45,0.0,0,0,0.753683478,29
01/01/2015,5,Quarter1,sweing,2,0.75,19.87,733.0,6000,34,0.0,0,0,0.753097531,29
01/01/2015,5,Quarter1,sweing,1,0.75,28.08,681.0,6900,45,0.0,0,0,0.750427826,29
01/01/2015,5,Quarter1,sweing,9,0.7,28.08,872.0,6900,44,0.0,0,0,0.721126957,29
01/01/2015,5,Quarter1,sweing,10,0.75,19.31,578.0,6480,45,0.0,0,0,0.712205247,29
01/01/2015,5,Quarter1,sweing,5,0.8,11.41,668.0,3660,50,0.0,0,0,0.707045902,29
01/01/2015,5,Quarter1,finishing ,10,0.65,3.94,0.0,960,0,0.0,0,0,0.705916667,29
01/01/2015,5,Quarter1,finishing ,8,0.75,2.9,0.0,960,0,0.0,0,0,0.676666667,24
01/01/2015,5,Quarter1,finishing ,4,0.75,3.94,0.0,2160,0,0.0,0,0,0.593055556,26
01/01/2015,5,Quarter1,finishing ,7,0.8,2.9,0.0,960,0,0.0,0,0,0.540729167,26
01/01/2015,5,Quarter1,sweing,4,0.65,23.69,861.0,7200,0,0.0,0,0,0.52118,26
01/01/2015,5,Quarter1,finishing,11,0.7,4.15,0.0,1440,0,0.0,0,0,0.436326389,20
01/03/2015,7,Quarter1,finishing ,4,0.8,4.15,0.0,6600,0,0.0,0,0,0.988024691,32
01/03/2015,7,Quarter1,finishing ,11,0.75,2.9,0.0,5640,0,0.0,0,0,0.987880435,32
01/03/2015,7,Quarter1,finishing ,9,0.8,4.15,0.0,960,0,0.0,0,0,0.956270833,32
01/03/2015,7,Quarter1,finishing ,3,0.75,3.94,0.0,1560,0,0.0,0,0,0.945277778,32
01/03/2015,7,Quarter1,finishing ,1,0.8,3.94,0.0,960,0,0.0,0,0,0.902916667,32
01/03/2015,7,Quarter1,sweing,1,0.8,28.08,772.0,6300,50,0.0,0,0,0.800725314,32
01/03/2015,7,Quarter1,sweing,3,0.8,28.08,913.0,6540,50,0.0,0,0,0.800322936,32
01/03/2015,7,Quarter1,sweing,8,0.8,26.16,1261.0,7080,50,0.0,0,0,0.800318644,32
01/03/2015,7,Quarter1,sweing,12,0.8,26.16,844.0,7080,63,0.0,0,0,0.800318644,32
01/03/2015,7,Quarter1,sweing,11,0.8,11.61,1005.0,7080,50,0.0,0,0,0.800237288,32
01/03/2015,7,Quarter1,sweing,5,0.8,11.61,659.0,7080,50,0.0,0,0,0.800148649,32
01/03/2015,7,Quarter1,sweing,6,0.8,25.9,1152.0,6720,50,0.0,0,0,0.800125,32
01/03/2015,7,Quarter1,sweing,7,0.8,25.9,1138.0,6720,38,0.0,0,0,0.800125,32
01/03/2015,7,Quarter1,sweing,10,0.75,19.31,610.0,6480,56,0.0,0,0,0.787299691,29
01/03/2015,7,Quarter1,finishing ,2,0.8,4.15,0.0,960,0,0.0,0,0,0.782447917,29
01/03/2015,7,Quarter1,sweing,2,0.75,19.87,944.0,6600,45,0.0,0,0,0.75024303,29
01/03/2015,7,Quarter1,finishing ,10,0.7,4.15,0.0,960,0,0.0,0,0,0.7018125,29
01/03/2015,7,Quarter1,sweing,4,0.7,23.69,544.0,13800,0,0.0,0,0,0.700134038,29
01/03/2015,7,Quarter1,sweing,9,0.7,28.08,1072.0,6900,40,0.0,0,0,0.699965217,24
01/03/2015,7,Quarter1,finishing ,8,0.8,2.9,0.0,960,0,0.0,0,0,0.628333333,24
01/03/2015,7,Quarter1,finishing ,7,0.8,3.94,0.0,960,0,0.0,0,0,0.6253125,24
01/04/2015,1,Quarter1,finishing ,3,0.75,4.15,0.0,1560,0,0.0,0,0,0.991388889,32
01/04/2015,1,Quarter1,finishing ,9,0.8,3.94,0.0,960,0,0.0,0,0,0.931645833,32
01/04/2015,1,Quarter1,finishing ,1,0.8,3.94,0.0,960,0,0.0,0,0,0.915229167,32
01/04/2015,1,Quarter1,sweing,6,0.8,11.61,539.0,6975,50,0.0,0,0,0.879714482,32
01/04/2015,1,Quarter1,finishing ,4,0.8,3.94,0.0,6600,0,0.0,0,0,0.861679012,32
01/04/2015,1,Quarter1,sweing,9,0.8,26.16,1278.0,7080,60,0.0,0,0,0.850569492,32
01/04/2015,1,Quarter1,sweing,7,0.8,25.9,1227.0,7020,60,0.0,0,0,0.850436438,32
01/04/2015,1,Quarter1,sweing,8,0.8,25.9,1039.0,6780,45,0.0,0,0,0.850345133,32
01/04/2015,1,Quarter1,sweing,4,0.8,28.08,878.0,4260,50,0.0,0,0,0.800598058,32
01/04/2015,1,Quarter1,sweing,1,0.8,26.16,1033.0,7080,63,0.0,0,0,0.800318644,32
01/04/2015,1,Quarter1,sweing,2,0.8,28.08,782.0,6660,50,0.0,0,0,0.800237838,32
01/04/2015,1,Quarter1,sweing,12,0.8,11.61,1216.0,6975,50,0.0,0,0,0.800030199,32
01/04/2015,1,Quarter1,finishing ,2,0.8,3.94,0.0,960,0,0.0,0,0,0.792104167,29
01/04/2015,1,Quarter1,finishing ,10,0.7,3.94,0.0,4320,0,0.0,0,0,0.759228395,29
01/04/2015,1,Quarter1,sweing,11,0.75,19.31,513.0,6480,45,0.0,0,0,0.750348457,29
01/04/2015,1,Quarter1,sweing,3,0.75,19.87,734.0,6600,45,0.0,0,0,0.75024303,29
01/04/2015,1,Quarter1,sweing,10,0.7,28.08,1202.0,6900,40,0.0,0,0,0.699965217,24
01/04/2015,1,Quarter1,finishing ,8,0.8,2.9,0.0,960,0,0.0,0,0,0.682708333,24
01/04/2015,1,Quarter1,finishing ,7,0.8,2.9,0.0,960,0,0.0,0,0,0.667604167,24
01/04/2015,1,Quarter1,sweing,5,0.7,45.67,884.0,6960,26,0.0,0,0,0.603432184,24
01/04/2015,1,Quarter1,finishing ,11,0.75,4.15,0.0,960,0,0.0,0,0,0.345833333,15
01/05/2015,2,Quarter1,finishing ,1,0.8,3.94,0.0,1920,0,0.0,0,0,0.961059028,32
01/05/2015,2,Quarter1,finishing ,11,0.8,3.94,0.0,2400,0,0.0,0,0,0.939513889,32
01/05/2015,2,Quarter1,finishing ,4,0.8,3.94,0.0,3840,0,0.0,0,0,0.893663194,32
01/05/2015,2,Quarter1,finishing ,3,0.75,4.15,0.0,1920,0,0.0,0,0,0.875390625,32
01/05/2015,2,Quarter1,sweing,9,0.8,26.16,1227.0,7080,75,0.0,0,0,0.850569492,32
01/05/2015,2,Quarter1,finishing ,9,0.8,2.9,0.0,1920,0,0.0,0,0,0.820833333,32
01/05/2015,2,Quarter1,finishing ,2,0.8,3.94,0.0,960,0,0.0,0,0,0.804416667,32
01/05/2015,2,Quarter1,sweing,7,0.8,25.9,1255.0,6780,50,0.0,0,0,0.800684366,32
01/05/2015,2,Quarter1,sweing,8,0.8,25.9,1047.0,6780,38,0.0,0,0,0.800684366,32
01/05/2015,2,Quarter1,sweing,1,0.8,26.16,1138.0,7080,63,0.0,0,0,0.800318644,32
01/05/2015,2,Quarter1,sweing,11,0.8,19.31,678.0,4800,50,0.0,0,0,0.800250962,32
01/05/2015,2,Quarter1,sweing,6,0.8,11.61,712.0,7200,50,0.0,0,0,0.800246011,32
01/05/2015,2,Quarter1,sweing,12,0.8,11.61,1037.0,7200,50,0.0,0,0,0.800246011,32
01/05/2015,2,Quarter1,sweing,2,0.8,28.08,757.0,6900,50,0.0,0,0,0.800076522,32
01/05/2015,2,Quarter1,sweing,4,0.8,28.08,759.0,6900,50,0.0,0,0,0.800076522,32
01/05/2015,2,Quarter1,finishing ,10,0.75,2.9,0.0,960,0,0.0,0,0,0.763375,29
01/05/2015,2,Quarter1,finishing ,5,0.6,2.9,0.0,960,0,0.0,0,0,0.759270833,29
01/05/2015,2,Quarter1,sweing,10,0.75,28.08,1083.0,7020,45,0.0,0,0,0.7504,29
01/05/2015,2,Quarter1,sweing,3,0.75,19.87,944.0,6600,45,0.0,0,0,0.75024303,29
01/05/2015,2,Quarter1,finishing ,7,0.8,3.94,0.0,960,0,0.0,0,0,0.676666667,24
01/05/2015,2,Quarter1,finishing ,8,0.8,2.9,0.0,960,0,0.0,0,0,0.664583333,24
01/05/2015,2,Quarter1,sweing,5,0.6,21.98,666.0,6960,23,0.0,0,0,0.600028736,24
01/06/2015,3,Quarter1,finishing ,4,0.8,3.94,0.0,4440,0,0.0,0,0,0.966781346,32
01/06/2015,3,Quarter1,finishing ,1,0.8,3.94,0.0,1440,0,0.0,0,0,0.936496212,32
01/06/2015,3,Quarter1,finishing ,3,0.75,4.15,0.0,1800,0,0.0,0,0,0.899166667,32
01/06/2015,3,Quarter1,finishing ,11,0.8,4.15,0.0,2700,0,0.0,0,0,0.888686869,32
01/06/2015,3,Quarter1,finishing ,9,0.8,3.94,0.0,1440,0,0.0,0,0,0.858143939,32
01/06/2015,3,Quarter1,sweing,1,0.8,26.16,1187.0,10620,75,0.0,0,0,0.850502311,32
01/06/2015,3,Quarter1,sweing,9,0.8,26.16,1305.0,10620,75,0.0,0,0,0.850502311,32
01/06/2015,3,Quarter1,finishing ,10,0.75,3.94,0.0,1440,0,0.0,0,0,0.809640152,32
01/06/2015,3,Quarter1,finishing ,2,0.8,3.94,0.0,1440,0,0.0,0,0,0.805909091,32
01/06/2015,3,Quarter1,sweing,2,0.8,28.08,716.0,10350,50,0.0,0,0,0.800594466,32
01/06/2015,3,Quarter1,sweing,4,0.8,28.08,925.0,10350,50,0.0,0,0,0.800594466,32
01/06/2015,3,Quarter1,sweing,3,0.8,19.87,963.0,9900,50,0.0,0,0,0.800273829,32
01/06/2015,3,Quarter1,sweing,12,0.8,11.61,1101.0,5310,50,0.0,0,0,0.800140969,32
01/06/2015,3,Quarter1,sweing,7,0.8,25.9,1035.0,10170,38,0.0,0,0,0.800128721,32
01/06/2015,3,Quarter1,sweing,8,0.8,25.9,1083.0,10170,38,0.0,0,0,0.800128721,32
01/06/2015,3,Quarter1,sweing,6,0.8,11.61,910.0,4470,38,0.0,0,0,0.80007657,32
01/06/2015,3,Quarter1,sweing,10,0.75,28.08,1209.0,10530,45,0.0,0,0,0.750545455,29
01/06/2015,3,Quarter1,sweing,11,0.75,19.31,590.0,9900,45,0.0,0,0,0.750057851,29
01/06/2015,3,Quarter1,finishing ,8,0.8,2.9,0.0,1440,0,0.0,0,0,0.681060606,24
01/06/2015,3,Quarter1,sweing,5,0.65,21.98,808.0,10440,35,0.0,0,0,0.649983281,24
01/06/2015,3,Quarter1,finishing ,7,0.8,2.9,0.0,1440,0,0.0,0,0,0.61625,24
01/07/2015,4,Quarter1,finishing ,1,0.8,3.94,0.0,1440,0,0.0,0,0,0.951420455,32
01/07/2015,4,Quarter1,finishing ,9,0.8,3.94,0.0,1440,0,0.0,0,0,0.880530303,32
01/07/2015,4,Quarter1,sweing,1,0.8,26.16,1179.0,10620,75,0.0,0,0,0.850502311,32
01/07/2015,4,Quarter1,sweing,9,0.8,26.16,1324.0,10620,75,0.0,0,0,0.850502311,32
01/07/2015,4,Quarter1,sweing,8,0.8,25.9,1135.0,10170,60,0.0,0,0,0.850136766,32
01/07/2015,4,Quarter1,finishing ,3,0.75,4.15,0.0,2700,0,0.0,0,0,0.83,32
01/07/2015,4,Quarter1,finishing ,4,0.8,3.94,0.0,4440,0,0.0,0,0,0.827186544,32
01/07/2015,4,Quarter1,finishing ,2,0.8,3.94,0.0,1440,0,0.0,0,0,0.813371212,32
01/07/2015,4,Quarter1,finishing ,10,0.75,3.94,0.0,1440,0,0.0,0,0,0.805909091,32
01/07/2015,4,Quarter1,finishing ,7,0.8,2.9,0.0,1440,0,0.0,0,0,0.804640152,32
01/07/2015,4,Quarter1,sweing,2,0.8,28.08,776.0,10350,63,0.0,0,0,0.800594466,32
01/07/2015,4,Quarter1,sweing,4,0.8,28.08,990.0,10350,50,0.0,0,0,0.800594466,32
01/07/2015,4,Quarter1,sweing,6,0.8,11.41,986.0,5490,50,0.0,0,0,0.800343766,32
01/07/2015,4,Quarter1,sweing,3,0.8,19.87,924.0,9900,50,0.0,0,0,0.800273829,32
01/07/2015,4,Quarter1,sweing,12,0.8,11.61,1120.0,5670,50,0.0,0,0,0.800246753,32
01/07/2015,4,Quarter1,sweing,7,0.8,25.9,1066.0,10170,50,0.0,0,0,0.800128721,32
01/07/2015,4,Quarter1,sweing,10,0.75,28.08,1144.0,10530,69,0.0,0,0,0.8,32
01/07/2015,4,Quarter1,sweing,5,0.7,21.98,413.0,9720,40,0.0,0,0,0.700480831,29
01/07/2015,4,Quarter1,finishing ,8,0.8,2.9,0.0,1440,0,0.0,0,0,0.681060606,24
01/07/2015,4,Quarter1,finishing ,6,0.8,2.9,0.0,1800,0,0.0,0,0,0.666515152,24
01/07/2015,4,Quarter1,sweing,11,0.8,31.83,568.0,9900,40,0.0,0,0,0.412119835,20
01/07/2015,4,Quarter1,finishing ,5,0.7,4.15,0.0,1440,0,0.0,0,0,0.330113636,15
01/08/2015,5,Quarter2,finishing ,1,0.8,3.94,0.0,1440,0,0.0,0,0,0.947689394,32
01/08/2015,5,Quarter2,finishing ,4,0.8,3.94,0.0,12600,0,0.0,0,0,0.919905405,32
01/08/2015,5,Quarter2,sweing,9,0.8,26.16,1216.0,10620,88,0.0,0,0,0.900215716,32
01/08/2015,5,Quarter2,finishing ,9,0.8,3.94,0.0,1440,0,0.0,0,0,0.891723485,32
01/08/2015,5,Quarter2,sweing,1,0.8,26.16,1189.0,10620,75,0.0,0,0,0.850502311,32
01/08/2015,5,Quarter2,sweing,4,0.8,28.08,942.0,10530,75,0.0,0,0,0.850181818,32
01/08/2015,5,Quarter2,sweing,7,0.8,25.9,1050.0,10170,60,0.0,0,0,0.850136766,32
01/08/2015,5,Quarter2,sweing,8,0.8,25.9,1026.0,10170,60,0.0,0,0,0.850136766,32
01/08/2015,5,Quarter2,finishing ,2,0.8,3.94,0.0,1440,0,0.0,0,0,0.835757576,32
01/08/2015,5,Quarter2,finishing ,5,0.7,4.15,0.0,3840,0,0.0,0,0,0.821354167,32
01/08/2015,5,Quarter2,sweing,2,0.8,28.08,783.0,10050,63,0.0,0,0,0.800497246,32
01/08/2015,5,Quarter2,sweing,3,0.8,19.87,857.0,9900,50,0.0,0,0,0.800273829,32
01/08/2015,5,Quarter2,sweing,12,0.8,11.61,548.0,15120,63,0.0,0,0,0.800107143,32
01/08/2015,5,Quarter2,sweing,6,0.8,11.41,411.0,14640,50,0.0,0,0,0.800024932,32
01/08/2015,5,Quarter2,sweing,10,0.75,28.08,1066.0,10530,69,0.0,0,0,0.8,32
01/08/2015,5,Quarter2,finishing ,10,0.75,3.94,0.0,1440,0,0.0,0,0,0.779791667,29
01/08/2015,5,Quarter2,finishing ,8,0.8,2.9,0.0,1440,0,0.0,0,0,0.735984848,29
01/08/2015,5,Quarter2,finishing ,3,0.75,4.15,0.0,2160,0,0.0,0,0,0.712626263,29
01/08/2015,5,Quarter2,finishing ,7,0.8,2.9,0.0,1440,0,0.0,0,0,0.681060606,24
01/08/2015,5,Quarter2,finishing ,11,0.8,4.15,0.0,900,0,0.0,0,0,0.515606061,26
01/08/2015,5,Quarter2,sweing,5,0.7,42.41,724.0,10260,0,0.0,0,0,0.233705476,14
01/08/2015,5,Quarter2,finishing ,1,0.8,3.94,0.0,2160,0,0.0,0,0,0.985,32
01/10/2015,7,Quarter2,finishing ,3,0.75,4.15,0.0,2760,0,0.0,0,0,0.930340376,32
01/10/2015,7,Quarter2,finishing ,4,0.8,3.94,0.0,6000,0,0.0,0,0,0.911589744,32
01/10/2015,7,Quarter2,finishing ,9,0.8,3.94,0.0,1440,0,0.0,0,0,0.858143939,32
01/10/2015,7,Quarter2,sweing,9,0.8,26.16,1122.0,10620,75,0.0,0,0,0.851174114,32
01/10/2015,7,Quarter2,sweing,7,0.8,25.9,970.0,10170,60,0.0,0,0,0.850136766,32
01/10/2015,7,Quarter2,sweing,8,0.8,25.9,1158.0,10170,60,0.0,0,0,0.850136766,32
01/10/2015,7,Quarter2,finishing ,10,0.8,3.94,0.0,1440,0,0.0,0,0,0.846950758,32
01/10/2015,7,Quarter2,finishing ,11,0.8,4.15,0.0,1440,0,0.0,0,0,0.817424242,32
01/10/2015,7,Quarter2,finishing ,2,0.8,3.94,0.0,1440,0,0.0,0,0,0.817102273,32
01/10/2015,7,Quarter2,sweing,4,0.8,28.08,660.0,10440,63,0.0,0,0,0.801028213,32
01/10/2015,7,Quarter2,sweing,2,0.8,28.08,749.0,10350,63,0.0,0,0,0.800594466,32
01/10/2015,7,Quarter2,sweing,12,0.8,11.61,893.0,4710,50,0.0,0,0,0.800346445,32
01/10/2015,7,Quarter2,sweing,6,0.8,11.41,887.0,5490,50,0.0,0,0,0.800343766,32
01/10/2015,7,Quarter2,sweing,1,0.8,26.16,1335.0,10620,63,0.0,0,0,0.800117103,32
01/10/2015,7,Quarter2,sweing,10,0.8,28.08,1082.0,10530,63,0.0,0,0,0.8,32
01/10/2015,7,Quarter2,sweing,3,0.75,19.87,1075.0,7080,45,0.0,0,0,0.750098351,29
01/10/2015,7,Quarter2,sweing,11,0.5,12.52,749.0,9540,38,0.0,0,0,0.673245283,24
01/10/2015,7,Quarter2,finishing ,7,0.8,2.9,0.0,1440,0,0.0,0,0,0.670075758,24
01/10/2015,7,Quarter2,finishing ,8,0.8,2.9,0.0,1440,0,0.0,0,0,0.628882576,24
01/10/2015,7,Quarter2,sweing,5,0.5,20.79,966.0,7680,0,0.0,0,0,0.388007813,15
01/10/2015,7,Quarter2,finishing ,5,0.5,4.15,0.0,1440,0,0.0,0,0,0.337973485,15
01/10/2015,7,Quarter2,finishing ,3,0.75,4.15,0.0,1440,0,0.0,0,0,0.93532197,32
01/11/2015,1,Quarter2,finishing ,4,0.8,3.94,0.0,3600,0,0.0,0,0,0.925643939,32
01/11/2015,1,Quarter2,sweing,9,0.8,26.16,1095.0,10620,88,0.0,0,0,0.900215716,32
01/11/2015,1,Quarter2,finishing ,1,0.8,3.94,0.0,1440,0,0.0,0,0,0.873068182,32
01/11/2015,1,Quarter2,finishing ,9,0.8,3.94,0.0,1440,0,0.0,0,0,0.858143939,32
01/11/2015,1,Quarter2,sweing,1,0.8,26.16,1383.0,10620,75,0.0,0,0,0.850502311,32
01/11/2015,1,Quarter2,sweing,7,0.8,25.9,1012.0,10170,45,0.0,0,0,0.850136766,32
01/11/2015,1,Quarter2,sweing,8,0.8,25.9,1209.0,10170,60,0.0,0,0,0.850136766,32
01/11/2015,1,Quarter2,finishing ,10,0.8,3.94,0.0,1440,0,0.0,0,0,0.828295455,32
01/11/2015,1,Quarter2,finishing ,2,0.8,3.94,0.0,1440,0,0.0,0,0,0.820833333,32
01/11/2015,1,Quarter2,sweing,6,0.8,11.41,887.0,5490,50,0.0,0,0,0.800343766,32
01/11/2015,1,Quarter2,sweing,12,0.8,11.61,896.0,5670,50,0.0,0,0,0.800246753,32
01/11/2015,1,Quarter2,sweing,2,0.8,28.08,805.0,10530,63,0.0,0,0,0.8,32
01/11/2015,1,Quarter2,sweing,10,0.8,28.08,762.0,10530,38,0.0,0,0,0.8,32
01/11/2015,1,Quarter2,sweing,3,0.8,19.87,1043.0,6420,0,0.0,0,0,0.690182815,24
01/11/2015,1,Quarter2,finishing ,11,0.8,4.15,0.0,1440,0,0.0,0,0,0.668087121,24
01/11/2015,1,Quarter2,finishing ,8,0.8,2.9,0.0,1440,0,0.0,0,0,0.653598485,24
01/11/2015,1,Quarter2,finishing ,5,0.5,4.15,0.0,1440,0,0.0,0,0,0.609138258,24
01/11/2015,1,Quarter2,sweing,11,0.6,12.52,831.0,9540,30,0.0,0,0,0.600229846,24
01/11/2015,1,Quarter2,finishing ,6,0.8,2.9,0.0,1440,0,0.0,0,0,0.597348485,26
01/11/2015,1,Quarter2,finishing ,7,0.8,2.9,0.0,1440,0,0.0,0,0,0.590435606,26
01/11/2015,1,Quarter2,sweing,4,0.8,50.48,562.0,10440,0,0.0,0,0,0.473134796,20
01/11/2015,1,Quarter2,sweing,5,0.6,20.79,1208.0,7980,0,0.0,0,0,0.452979626,20
01/11/2015,1,Quarter2,finishing ,1,0.8,3.94,0.0,1440,0,0.0,0,0,0.955151515,32
01/12/2015,2,Quarter2,finishing ,4,0.35,4.3,0.0,3240,0,0.0,0,0,0.942213805,32
01/12/2015,2,Quarter2,finishing ,3,0.8,4.15,0.0,1800,0,0.0,0,0,0.905454545,32
01/12/2015,2,Quarter2,finishing ,2,0.8,3.94,0.0,1440,0,0.0,0,0,0.880530303,32
01/12/2015,2,Quarter2,finishing ,9,0.8,3.94,0.0,1440,0,0.0,0,0,0.858143939,32
01/12/2015,2,Quarter2,sweing,1,0.8,26.16,1099.0,8220,75,0.0,0,0,0.850522167,32
01/12/2015,2,Quarter2,sweing,9,0.8,26.16,1093.0,10620,75,0.0,0,0,0.850502311,32
01/12/2015,2,Quarter2,sweing,7,0.8,25.9,1031.0,10170,60,0.0,0,0,0.850136766,32
01/12/2015,2,Quarter2,sweing,8,0.8,25.9,1233.0,10170,60,0.0,0,0,0.850136766,32
01/12/2015,2,Quarter2,finishing ,6,0.8,2.9,0.0,1440,0,0.0,0,0,0.817424242,32
01/12/2015,2,Quarter2,finishing ,5,0.65,4.15,0.0,1440,0,0.0,0,0,0.809564394,32
01/12/2015,2,Quarter2,sweing,3,0.8,19.87,941.0,9900,0,0.0,0,0,0.800273829,32
01/12/2015,2,Quarter2,sweing,6,0.8,11.41,843.0,5670,50,0.0,0,0,0.800181818,32
01/12/2015,2,Quarter2,sweing,12,0.8,11.61,760.0,4470,50,0.0,0,0,0.80007657,32
01/12/2015,2,Quarter2,sweing,2,0.8,28.08,737.0,10530,63,0.0,0,0,0.8,32
01/12/2015,2,Quarter2,finishing ,8,0.8,2.9,0.0,1440,0,0.0,0,0,0.725,29
01/12/2015,2,Quarter2,sweing,10,0.8,50.48,381.0,6930,45,0.0,0,0,0.688557555,24
01/12/2015,2,Quarter2,sweing,5,0.65,20.79,1141.0,8460,0,0.0,0,0,0.650040783,24
01/12/2015,2,Quarter2,sweing,11,0.65,12.52,1004.0,9540,44,0.0,0,0,0.64998056,24
01/12/2015,2,Quarter2,finishing ,7,0.8,2.9,0.0,1440,0,0.0,0,0,0.648106061,24
01/12/2015,2,Quarter2,finishing ,11,0.8,4.15,0.0,1440,0,0.0,0,0,0.640577652,24
01/12/2015,2,Quarter2,sweing,4,0.35,22.4,581.0,7350,0,0.0,0,0,0.35063299,15
01/12/2015,2,Quarter2,finishing ,10,0.8,3.94,0.0,1440,0,0.0,0,0,0.24625,14
01/12/2015,2,Quarter2,finishing ,4,0.35,4.3,0.0,2160,0,0.0,0,0,0.952020202,32
1/13/2015,3,Quarter2,finishing ,1,0.8,3.94,0.0,1440,0,0.0,0,0,0.951420455,32
1/13/2015,3,Quarter2,finishing ,10,0.8,3.94,0.0,5400,0,0.0,0,0,0.912766667,32
1/13/2015,3,Quarter2,finishing ,3,0.8,4.15,0.0,1620,0,0.0,0,0,0.901262626,32
1/13/2015,3,Quarter2,finishing ,9,0.8,3.94,0.0,1440,0,0.0,0,0,0.858143939,32
1/13/2015,3,Quarter2,sweing,1,0.8,26.16,1073.0,10620,75,0.0,0,0,0.850502311,32
1/13/2015,3,Quarter2,sweing,9,0.8,26.16,1156.0,10620,75,0.0,0,0,0.850502311,32
1/13/2015,3,Quarter2,sweing,8,0.8,25.9,1211.0,10260,60,0.0,0,0,0.850252525,32
1/13/2015,3,Quarter2,sweing,7,0.8,25.9,1126.0,10170,60,0.0,0,0,0.850136766,32
1/13/2015,3,Quarter2,finishing ,5,0.65,4.15,0.0,1440,0,0.0,0,0,0.821354167,32
1/13/2015,3,Quarter2,finishing ,2,0.8,3.94,0.0,1440,0,0.0,0,0,0.805909091,32
1/13/2015,3,Quarter2,sweing,6,0.8,11.61,1004.0,5670,50,0.0,0,0,0.800246753,32
1/13/2015,3,Quarter2,sweing,12,0.8,11.61,1063.0,5670,50,0.0,0,0,0.800246753,32
1/13/2015,3,Quarter2,sweing,2,0.8,28.08,723.0,10530,50,0.0,0,0,0.8,32
1/13/2015,3,Quarter2,sweing,3,0.8,42.27,465.0,9900,54,0.0,0,0,0.705576584,29
1/13/2015,3,Quarter2,finishing ,8,0.8,2.9,0.0,1440,0,0.0,0,0,0.681060606,24
